city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tanjungbalai,Tanjungbalai,2.9667,99.8,Indonesia,ID,IDN,Sumatera Utara,,165763,1360992709
Metro,Metro,-5.1167,105.3,Indonesia,ID,IDN,Lampung,,161799,1360659228
Bontang,Bontang,0.1333,117.5,Indonesia,ID,IDN,Kalimantan Timur,,161413,1360692406
Baubau,Baubau,-5.4667,122.633,Indonesia,ID,IDN,Sulawesi Tenggara,,152143,1360789994
Mojokerto,Mojokerto,-7.4722,112.4336,Indonesia,ID,IDN,Jawa Timur,,130196,1360053101
Gunungsitoli,Gunungsitoli,1.1167,97.5667,Indonesia,ID,IDN,Sumatera Utara,minor,137104,1360175198
Bima,Bima,-8.4667,118.717,Indonesia,ID,IDN,Nusa Tenggara Barat,,136492,1360521866
Pageralam,Pageralam,-4.0217,103.2522,Indonesia,ID,IDN,Sumatera Selatan,minor,136244,1360027360
Blitar,Blitar,-8.1,112.15,Indonesia,ID,IDN,Jawa Timur,,132018,1360011677
Parepare,Parepare,-4.0167,119.6236,Indonesia,ID,IDN,Sulawesi Selatan,,129542,1360021476
Payakumbuh,Payakumbuh,-0.2244,100.6325,Indonesia,ID,IDN,Sumatera Barat,,125608,1360091636
Pangkalpinang,Pangkalpinang,-2.1,106.1,Indonesia,ID,IDN,Kep. Bangka Belitung,admin,125933,1360901919
Magelang,Magelang,-7.4706,110.2178,Indonesia,ID,IDN,Jawa Tengah,,124912,1360065728
Indramayu,Indramayu,-6.3356,108.319,Indonesia,ID,IDN,Jawa Barat,minor,123263,1360004807
Pati,Pati,-6.7415,111.0347,Indonesia,ID,IDN,Jawa Tengah,minor,122785,1360407556
Kotamobagu,Kotamobagu,0.7333,124.3167,Indonesia,ID,IDN,Sulawesi Utara,,120597,1360015626
Bukittinggi,Bukittinggi,-0.3097,100.3753,Indonesia,ID,IDN,Sumatera Barat,,113326,1360552560
Raba,Raba,-8.4614,118.747,Indonesia,ID,IDN,Nusa Tenggara Barat,minor,106101,1360014952
Maumere,Maumere,-8.6189,122.2123,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,104285,1360776014
Biak,Biak,-1.1615,136.0485,Indonesia,ID,IDN,Papua,minor,103610,1360911386
Sungai Penuh,Sungai Penuh,-2.0636,101.3961,Indonesia,ID,IDN,Jambi,,101325,1360337679
Sibolga,Sibolga,1.7425,98.7792,Indonesia,ID,IDN,Sumatera Utara,,94971,1360021193
Manokwari,Manokwari,-0.8711,134.0693,Indonesia,ID,IDN,Papua Barat,admin,74504,1360451991
Padangpanjang,Padangpanjang,-0.45,100.4167,Indonesia,ID,IDN,Sumatera Barat,,52422,1360231049
Sofifi,Sofifi,0.7373,127.5588,Indonesia,ID,IDN,Maluku Utara,admin,,1360431437
Mamuju,Mamuju,-2.6806,118.8861,Indonesia,ID,IDN,Sulawesi Barat,admin,,1360687242
Tanjung Selor,Tanjung Selor,2.8375,117.3653,Indonesia,ID,IDN,Kalimantan Utara,admin,,1360029270
Tomohon,Tomohon,1.3244,124.8225,Indonesia,ID,IDN,Sulawesi Utara,minor,96411,1360014714
Sampit,Sampit,-2.5329,112.95,Indonesia,ID,IDN,Kalimantan Tengah,minor,92710,1360020231
Pariaman,Pariaman,-0.6261,100.1206,Indonesia,ID,IDN,Sumatera Barat,minor,85485,1360811086
Sumenep,Sumenep,-7.0049,113.8496,Indonesia,ID,IDN,Jawa Timur,minor,84656,1360439354
Tual,Tual,-5.6385,132.745,Indonesia,ID,IDN,Maluku,,82955,1360221504
Watampone,Watampone,-4.5328,120.3334,Indonesia,ID,IDN,Sulawesi Selatan,minor,81629,1360956480
Subulussalam,Subulussalam,2.6422,98.0042,Indonesia,ID,IDN,Aceh,,78801,1360306114
Ende,Ende,-8.8333,121.65,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,77205,1360796329
Tuban,Tuban,-6.8995,112.05,Indonesia,ID,IDN,Jawa Timur,minor,76242,1360482232
Solok,Solok,-0.7883,100.6542,Indonesia,ID,IDN,Sumatera Barat,,68602,1360178406
Lahat,Lahat,-3.8,103.5333,Indonesia,ID,IDN,Sumatera Selatan,minor,65906,1360094721
Tanjungpandan,Tanjungpandan,-2.75,107.65,Indonesia,ID,IDN,Kep. Bangka Belitung,minor,62374,1360732632
Sawahlunto,Sawahlunto,-0.6828,100.7783,Indonesia,ID,IDN,Sumatera Barat,,61427,1360188622
Soasio,Soasio,0.6964,127.436,Indonesia,ID,IDN,Maluku Utara,,60611,1360827216
Ruteng,Ruteng,-8.6118,120.4698,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,53976,1360084520
Waingapu,Waingapu,-9.6582,120.253,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,48828,1360882365
Luwuk,Luwuk,-0.9396,122.79,Indonesia,ID,IDN,Sulawesi Tengah,minor,47778,1360727028
Amahai,Amahai,-3.3281,128.9405,Indonesia,ID,IDN,Maluku,minor,47653,1360767250
Poso,Poso,-1.3896,120.76,Indonesia,ID,IDN,Sulawesi Tengah,minor,47110,1360727615
Pemangkat,Pemangkat,1.1727,108.9808,Indonesia,ID,IDN,Kalimantan Barat,,44783,1360279205
Nabire,Nabire,-3.3515,135.5134,Indonesia,ID,IDN,Papua,minor,43898,1360322221
Rantepao,Rantepao,-2.969,119.9,Indonesia,ID,IDN,Sulawesi Selatan,minor,43123,1360797389
Kotabumi,Kotabumi,-4.8333,104.9,Indonesia,ID,IDN,Lampung,minor,42366,1360396080
Sabang,Sabang,5.8931,95.32,Indonesia,ID,IDN,Aceh,,38077,1360742506
Praya,Praya,-8.7223,116.2923,Indonesia,ID,IDN,Nusa Tenggara Barat,minor,35183,1360664646
Kuala Kapuas,Kuala Kapuas,-3.0996,114.35,Indonesia,ID,IDN,Kalimantan Tengah,minor,35632,1360858401
Merauke,Merauke,-8.4932,140.4018,Indonesia,ID,IDN,Papua,minor,34412,1360904439
Kulat,Kulat,-8.7151,115.1841,Indonesia,ID,IDN,Bali,,30012,1360003468
Tinipuka,Tinipuka,-4.5496,136.89,Indonesia,ID,IDN,Papua,,26021,1360525797
Makale,Makale,-3.086,119.8469,Indonesia,ID,IDN,Sulawesi Selatan,minor,9960,1360576738
Tarutung,Tarutung,2.0171,98.9667,Indonesia,ID,IDN,Sumatera Utara,minor,1305,1360333240
Buton,Buton,4.217,108.2,Indonesia,ID,IDN,Kep. Riau,,140,1360984658
